"price","make","kms","fuel","seller","tx","owner","mileage","esize","power"
1200,"Other",230,"Diesel","Individual","Automatic","First ",15.73,1968,174.33
1689.999,"Other",8,"Petrol","Dealer","Automatic","First ",16.6,1798,177.5
1750,"Other",33.9,"Diesel","Dealer","Automatic","Second ",17.68,1968,174.33
1600,"Other",44,"Diesel","Individual","Automatic","Second ",16.55,1968,147.51
1750,"Other",110,"Diesel","Individual","Automatic","Second ",12.07,2967,241.4
730,"Other",55,"Petrol","Individual","Automatic","Second ",12.3,1781,163.2
2700,"Other",105,"Diesel","Dealer","Automatic","Second ",13.22,2967,241.4
2200,"Other",25,"Diesel","Individual","Automatic","Second ",15.17,1968,181
2000,"Other",35,"Diesel","Individual","Automatic","Second ",17.68,1968,174.33
1025,"Other",120,"Diesel","Individual","Automatic","Third or above",12.07,2967,241.4
810,"Other",98,"Diesel","Individual","Automatic","Third or above",12.07,2967,241.4
3790,"Other",29.5,"Diesel","Dealer","Automatic","First ",22.48,1995,187.74
5800,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
2150,"Other",30,"Diesel","Dealer","Automatic","First ",22.69,1995,190
2900,"Other",12,"Diesel","Dealer","Automatic","First ",18.12,1995,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
3750,"Other",56,"Diesel","Dealer","Automatic","First ",11.2,2993,241
6000,"Other",28.156,"Diesel","Dealer","Automatic","First ",17.09,2993,261.4
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
1075,"Other",42.545,"Diesel","Dealer","Automatic","First ",19.62,1998,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
3350,"Other",18,"Diesel","Dealer","Automatic","First ",19.62,1998,190
3200,"Other",13.663,"Diesel","Dealer","Automatic","First ",22.69,1995,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
2850,"Other",27,"Diesel","Dealer","Automatic","First ",17.05,1995,184
3900,"Other",17.1,"Diesel","Dealer","Automatic","First ",22.48,1995,187.74
7200,"Other",5,"Diesel","Individual","Automatic","First ",13.38,2993,265
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
1075,"Other",42.545,"Diesel","Dealer","Automatic","First ",19.62,1998,190
3790,"Other",29.5,"Diesel","Dealer","Automatic","First ",22.48,1995,187.74
2600,"Other",44,"Diesel","Dealer","Automatic","First ",22.69,1995,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
3750,"Other",56,"Diesel","Dealer","Automatic","First ",11.2,2993,241
6000,"Other",28.156,"Diesel","Dealer","Automatic","First ",17.09,2993,261.4
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
1100,"Other",102,"Diesel","Dealer","Automatic","First ",19.62,1995,187.74
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
2950,"Other",39,"Diesel","Dealer","Automatic","First ",19.59,1995,187.74
5200,"Other",10,"Diesel","Dealer","Automatic","First ",18.12,1995,190
2600,"Other",44,"Diesel","Dealer","Automatic","First ",22.69,1995,190
5500,"Other",22,"Diesel","Individual","Automatic","First ",17.09,2993,261.4
2950,"Other",60,"Diesel","Dealer","Automatic","First ",21.76,1995,188
6000,"Other",27,"Diesel","Dealer","Automatic","First ",17.09,2993,261.4
2150,"Other",30,"Diesel","Dealer","Automatic","First ",22.69,1995,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
1000,"Other",60,"Diesel","Individual","Automatic","First ",16.73,1995,218
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
3200,"Other",40,"Diesel","Individual","Automatic","First ",18.12,1995,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
4000,"Other",10,"Diesel","Dealer","Automatic","First ",22.48,1995,187.74
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
1650,"Other",74,"Diesel","Individual","Automatic","First ",18.88,1995,184
1075,"Other",42.545,"Diesel","Dealer","Automatic","First ",19.62,1998,190
2000,"Other",60,"Diesel","Individual","Automatic","First ",16.2,2993,235
1800,"Other",50,"Diesel","Individual","Automatic","First ",16.09,1995,184
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5830,"Other",30,"Diesel","Individual","Automatic","First ",17.09,2993,261.4
1000,"Other",50,"Diesel","Individual","Automatic","First ",17.05,1995,184
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
3350,"Other",18,"Diesel","Dealer","Automatic","First ",19.62,1998,190
5800,"Other",21,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5830,"Other",30,"Diesel","Individual","Automatic","First ",17.09,2993,261.4
4000,"Other",10,"Diesel","Dealer","Automatic","First ",22.48,1995,187.74
2950,"Other",39,"Diesel","Dealer","Automatic","First ",19.59,1995,187.74
5200,"Other",10,"Diesel","Dealer","Automatic","First ",18.12,1995,190
5400,"Other",7.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
5500,"Other",8.5,"Diesel","Dealer","Automatic","First ",16.78,1995,190
1500,"Other",84.925,"Diesel","Individual","Automatic","First ",16.07,1995,181
2500,"Other",30,"Petrol","Individual","Automatic","Second ",15.71,1998,189
975,"Other",72.2,"Petrol","Dealer","Automatic","Second ",10.8,2497,150
1300,"Other",140,"Diesel","Individual","Automatic","Second ",18.88,1995,184
1300,"Other",140,"Diesel","Individual","Automatic","Second ",18.88,1995,184
1300,"Other",140,"Diesel","Individual","Automatic","Second ",18.88,1995,184
1300,"Other",140,"Diesel","Individual","Automatic","Second ",18.88,1995,184
1100,"Other",60,"Diesel","Individual","Automatic","Second ",16.07,1995,181
750,"Other",60,"Diesel","Individual","Automatic","Second ",14.49,2993,258
1100,"Other",122,"Diesel","Individual","Automatic","Second ",18.48,1995,177
2500,"Other",30,"Petrol","Individual","Automatic","Second ",15.71,1998,189
925,"Other",96,"Diesel","Dealer","Automatic","Second ",19.62,1998,190
2000,"Other",90,"Diesel","Individual","Automatic","Second ",14.49,2993,258
1100,"Other",80,"Diesel","Individual","Automatic","Second ",16.07,1995,181
975,"Other",80,"Diesel","Dealer","Automatic","Second ",22.48,1995,187.74
900,"Other",155,"Diesel","Individual","Automatic","Second ",16.07,1995,181
830,"Other",60,"Diesel","Individual","Automatic","Third or above",11,2993,235
480,"Other",110,"Diesel","Individual","Automatic","Third or above",16.07,1995,181
300,"Other",70,"Diesel","Individual","Manual","First ",18.2,1248,73.8
300,"Other",50,"Diesel","Individual","Manual","First ",25.44,936,57.6
200,"Other",50,"Petrol","Individual","Manual","First ",18.6,1199,76.8
400,"Other",30,"Petrol","Individual","Manual","First ",18.2,1199,82.4
220,"Other",80,"Petrol","Individual","Manual","First ",18.2,1199,82.4
375,"Other",53.319,"Diesel","Dealer","Manual","First ",25.44,936,56.3
420,"Other",70,"Diesel","Individual","Manual","First ",18.2,1248,73.74
229.999,"Other",46,"Petrol","Individual","Manual","First ",18.2,1199,84.8
371,"Other",40,"Petrol","Individual","Manual","First ",18.2,1199,82.4
150,"Other",110,"Diesel","Individual","Manual","First ",25.44,936,57.6
240,"Other",55,"Diesel","Individual","Manual","First ",25.44,936,56.3
300,"Other",65,"Diesel","Individual","Manual","First ",22.1,1248,76.9
600,"Other",90,"Diesel","Individual","Manual","First ",13.58,2499,72.4
270,"Other",185,"Diesel","Individual","Manual","First ",14.8,2499,80
130,"Other",110,"Petrol","Individual","Manual","First ",16.2,995,62.1
330,"Other",23,"Petrol","Individual","Manual","First ",18.2,1199,82.4
125,"Other",60,"Petrol","Individual","Manual","First ",15.26,1150,74.9
140,"Other",75,"Petrol","Individual","Manual","First ",18.6,1199,79.4
170,"Other",90,"Diesel","Individual","Manual","First ",25.44,936,57.6
260,"Other",38,"Diesel","Individual","Manual","First ",22.1,1248,74
450,"Other",13.5,"Petrol","Individual","Manual","First ",18.2,1199,82.4
169,"Other",41,"Petrol","Individual","Manual","First ",18,995,62
250,"Other",63,"Petrol","Individual","Manual","First ",18.6,1199,79.4
300,"Other",50,"Petrol","Individual","Manual","First ",18.2,1199,82.4
150,"Other",80,"Petrol","Individual","Manual","First ",18,995,62
250,"Other",23.5,"Petrol","Individual","Manual","First ",18.6,1199,76.8
350,"Other",50,"Petrol","Individual","Manual","First ",18.2,1199,82.4
130,"Other",67.84,"Petrol","Individual","Manual","First ",18,995,62
600,"Other",110,"Diesel","Individual","Manual","First ",13.58,2499,72.4
130,"Other",50,"Petrol","Individual","Manual","First ",18,995,62
415,"Other",78.432,"Diesel","Individual","Manual","First ",16.52,1991,123.7
245,"Other",25,"Petrol","Individual","Manual","First ",18.2,1199,84.8
45,"Other",70,"Petrol","Individual","Manual","First ",18,995,62
175,"Other",56.365,"Diesel","Dealer","Manual","First ",25.44,936,56.3
160,"Other",49.563,"Petrol","Dealer","Manual","First ",16.2,995,62.1
210,"Other",50,"Petrol","Individual","Manual","First ",18.6,1199,76.8
400,"Other",64,"Diesel","Individual","Manual","First ",16.52,1991,123.7
155,"Other",98,"Diesel","Individual","Manual","First ",25.44,936,57.6
125,"Other",70,"Petrol","Individual","Manual","First ",16,995,63
310,"Other",35,"Petrol","Individual","Manual","First ",18.2,1199,82.4
200,"Other",70,"Diesel","Individual","Manual","First ",22.1,1248,76.9
120,"Other",90,"Petrol","Individual","Manual","First ",18.6,1199,79.4
120,"Other",60,"Petrol","Individual","Manual","First ",18.6,1199,79.4
246,"Other",56,"Diesel","Dealer","Manual","First ",22.1,1248,74
175,"Other",76,"Diesel","Individual","Manual","First ",25.44,936,57.6
200,"Other",40,"Diesel","Individual","Manual","First ",25.44,936,56.3
500,"Other",198,"Diesel","Individual","Manual","First ",18.2,1248,73.74
200,"Other",50,"Petrol","Individual","Manual","First ",18.6,1199,76.8
400,"Other",30,"Petrol","Individual","Manual","First ",18.2,1199,82.4
500,"Other",50,"Diesel","Individual","Manual","First ",13.58,2499,72.4
550,"Other",15,"Petrol","Individual","Manual","First ",18.2,1199,82.4
150,"Other",35,"Petrol","Individual","Manual","First ",18,995,62
312,"Other",80,"Petrol","Individual","Manual","First ",13.7,1399,98.82
180,"Other",60,"Petrol","Individual","Manual","First ",18.6,1199,79.4
160,"Other",220,"Diesel","Individual","Manual","First ",14.8,2499,80
175,"Other",56.315,"Diesel","Individual","Manual","First ",25.44,936,57.6
225,"Other",100,"Diesel","Individual","Manual","First ",14.8,2499,80
75,"Other",120,"Petrol","Individual","Manual","First ",18,995,62
200,"Other",40,"Diesel","Individual","Manual","First ",25.44,936,56.3
140,"Other",75,"Diesel","Individual","Manual","First ",25.44,936,57.6
150,"Other",70,"Petrol","Individual","Manual","First ",18.6,1199,79.4
220,"Other",50,"Diesel","Individual","Manual","First ",25.44,936,56.3
355,"Other",68,"Diesel","Individual","Manual","First ",22.1,1248,76.9
130,"Other",70,"Petrol","Individual","Manual","First ",18,995,62
667,"Other",65,"Diesel","Individual","Manual","First ",14.6,2231,184
130,"Other",68.519,"Petrol","Dealer","Manual","First ",16.2,995,62.1
165,"Other",70,"Petrol","Individual","Manual","First ",18,995,62
150,"Other",30,"Petrol","Individual","Manual","First ",18,995,62
140,"Other",60,"Petrol","Individual","Manual","First ",18.6,1199,79.4
300,"Other",15,"Petrol","Individual","Manual","First ",18.6,1199,76.8
310,"Other",30,"Petrol","Individual","Manual","First ",18.6,1199,76.8
350,"Other",37,"Petrol","Dealer","Manual","First ",13.7,1399,98.79
170,"Other",70,"Diesel","Individual","Manual","First ",25.44,936,57.6
535,"Other",32,"Diesel","Individual","Manual","First ",18.2,1248,73.74
350,"Other",90,"Petrol","Individual","Manual","First ",17.8,1199,76.8
350,"Other",50,"Petrol","Individual","Manual","First ",18.2,1199,82.4
200,"Other",50,"Petrol","Individual","Manual","First ",18.2,1199,82.4
295,"Other",50,"Diesel","Individual","Manual","First ",22.1,1248,76.9
210,"Other",96.272,"Diesel","Individual","Manual","First ",25.44,936,57.6
200,"Other",70,"Petrol","Individual","Manual","First ",18.6,1199,79.4
170,"Other",80,"Petrol","Individual","Manual","First ",16.2,995,62.1
125,"Other",139,"Diesel","Individual","Manual","First ",25.44,936,57.6
490,"Other",80,"Diesel","Individual","Manual","First ",18.2,1248,73.74
200,"Other",30,"Petrol","Individual","Manual","First ",16.5,995,63
200,"Other",80,"Diesel","Individual","Manual","First ",22.1,1248,76.9
370,"Other",120,"Diesel","Individual","Manual","First ",18.2,1248,73.8
450,"Other",60,"Diesel","Individual","Manual","First ",18.2,1248,73.8
180,"Other",120,"Diesel","Individual","Manual","First ",25.44,936,57.6
300,"Other",90,"Diesel","Individual","Manual","First ",18.2,1248,73.8
434,"Other",120,"Diesel","Individual","Manual","First ",13.58,2499,72.4
300,"Other",51,"Petrol","Individual","Manual","First ",18.2,1199,82.5
200,"Other",80,"Diesel","Individual","Manual","First ",22.1,1248,76.9
300,"Other",60,"Diesel","Individual","Manual","First ",18.3,1991,147.9
450,"Other",155,"Diesel","Individual","Automatic","First ",14.81,1998,163.7
900,"Other",100,"Diesel","Individual","Manual","First ",13.58,2499,72.4
425,"Other",70,"Diesel","Individual","Manual","First ",13.58,2499,72.4
509.999,"Other",197,"Diesel","Individual","Manual","First ",13.58,2499,72.4
360,"Other",100,"Diesel","Individual","Manual","First ",18.3,1991,147.9
190,"Other",74.321,"Diesel","Dealer","Manual","First ",25.44,936,56.3
750,"Other",67.6,"Diesel","Individual","Automatic","First ",14.81,1998,163.7
620,"Other",120,"Diesel","Individual","Manual","First ",13.58,2499,72.4
145,"Other",120,"Petrol","Individual","Manual","First ",18.6,1199,79.4
750,"Other",67.6,"Diesel","Individual","Automatic","First ",14.81,1998,163.7
620,"Other",120,"Diesel","Individual","Manual","First ",13.58,2499,72.4
525,"Other",80,"Diesel","Individual","Manual","First ",18.2,1248,73.74
75.527,"Other",80,"Petrol","Individual","Manual","First ",16,995,63
246,"Other",56,"Diesel","Dealer","Manual","First ",22.1,1248,74
145,"Other",30,"Petrol","Individual","Manual","First ",18,995,62
300,"Other",60.175,"Petrol","Individual","Manual","First ",18.2,1199,82.5
240,"Other",30,"Petrol","Individual","Manual","First ",18.6,1199,76.8
275,"Other",195,"Diesel","Individual","Manual","First ",18.2,1248,73.8
300,"Other",40,"Diesel","Individual","Manual","First ",18.3,1991,147.9
420,"Other",110,"Diesel","Individual","Manual","Second ",18.2,1248,73.74
170,"Other",70,"Petrol","Individual","Manual","Second ",18.6,1199,79.4
220,"Other",70,"Diesel","Individual","Manual","Second ",25.44,936,57.6
600,"Other",90,"Diesel","Individual","Manual","Second ",13.58,2499,72.4
80,"Other",70,"Petrol","Individual","Manual","Second ",15.26,1150,74.9
409.999,"Other",60,"Diesel","Individual","Manual","Second ",12.2,1994,105.3
200,"Other",70,"Diesel","Individual","Manual","Second ",25.44,936,57.6
440,"Other",90,"Diesel","Individual","Automatic","Second ",18.1,1991,147.9
480,"Other",80,"Diesel","Individual","Manual","Second ",22.1,1248,74
575,"Other",70,"Diesel","Individual","Manual","Second ",13.58,2499,72.4
90,"Other",50,"Petrol","Individual","Manual","Second ",16,995,63
190,"Other",94,"Petrol","Individual","Manual","Second ",17.4,1599,104
250,"Other",80,"Petrol","Individual","Manual","Second ",12.9,1598,102.5
250,"Other",60,"Diesel","Individual","Manual","Second ",22.1,1248,74
420,"Other",46.815,"Diesel","Individual","Manual","Second ",22.1,1248,76.9
190,"Other",139,"Diesel","Individual","Manual","Second ",18.2,1248,73.8
170,"Other",76,"Diesel","Individual","Manual","Second ",25.44,936,56.3
125,"Other",40,"Petrol","Individual","Manual","Second ",16.2,995,62.1
130,"Other",110,"Petrol","Individual","Manual","Second ",18,995,62
600,"Other",80,"Diesel","Individual","Manual","Second ",13.58,2499,72.4
225,"Other",120,"Diesel","Individual","Manual","Second ",16.52,1991,123.7
90,"Other",70,"Petrol","Individual","Manual","Second ",18,995,62
130,"Other",60,"Petrol","Individual","Manual","Second ",14.49,1399,92.7
185,"Other",90,"Diesel","Individual","Manual","Second ",25.44,936,56.3
700,"Other",50,"Diesel","Individual","Automatic","Second ",12.12,2231,184
65,"Other",30,"Petrol","Individual","Manual","Second ",14.7,1150,76
120,"Other",60,"Diesel","Individual","Manual","Second ",25.44,936,57.6
305,"Other",230,"Diesel","Individual","Manual","Second ",13.58,2499,72.4
120,"Other",40,"Petrol","Individual","Manual","Second ",18.6,1199,79.4
72,"Other",40,"Petrol","Individual","Manual","Second ",18,995,62
140,"Other",100,"Petrol","Individual","Manual","Second ",18,995,62
290,"Other",82.5,"Diesel","Individual","Manual","Second ",16.52,1991,123.7
580,"Other",110,"Diesel","Individual","Manual","Second ",13.58,2499,72.4
200,"Other",60,"Diesel","Individual","Manual","Second ",25.44,936,57.6
120,"Other",110,"Petrol","Individual","Manual","Second ",18.2,1199,84.8
150,"Other",80,"Petrol","Individual","Manual","Second ",18,995,62
160,"Other",50,"Petrol","Individual","Manual","Second ",16.2,995,62.1
215,"Other",60,"Diesel","Individual","Manual","Second ",25.44,936,56.3
190,"Other",20,"Petrol","Individual","Manual","Second ",18,995,62
440,"Other",90,"Diesel","Individual","Automatic","Second ",18.1,1991,147.9
430,"Other",80,"Diesel","Individual","Automatic","Second ",18.1,1991,147.9
280,"Other",100,"Diesel","Individual","Manual","Second ",14.8,2499,80
80,"Other",80,"Petrol","Individual","Manual","Second ",18,995,62
175,"Other",68,"Diesel","Individual","Manual","Second ",25.44,936,57.6
225,"Other",100,"Diesel","Individual","Manual","Second ",22.1,1248,76.9
270,"Other",90,"Diesel","Individual","Manual","Second ",18.3,1991,147.9
140,"Other",110,"Petrol","Individual","Manual","Second ",18.6,1199,79.4
225,"Other",60,"Petrol","Individual","Manual","Second ",12.9,1598,102.5
95,"Other",44,"Petrol","Individual","Manual","Second ",16,995,63
165,"Other",70,"Diesel","Individual","Manual","Second ",25.44,936,57.6
450,"Other",80,"Diesel","Individual","Manual","Second ",18.2,1248,73.8
409.999,"Other",80,"Diesel","Individual","Manual","Second ",18.3,1991,147.9
355,"Other",136,"Diesel","Individual","Manual","Second ",18.2,1248,73.8
295,"Other",195,"Diesel","Individual","Manual","Second ",14.8,2499,80
125,"Other",90,"Petrol","Individual","Manual","Second ",18.6,1199,79.4
124,"Other",40,"Petrol","Individual","Manual","Second ",18.6,1199,79.4
260,"Other",80,"Diesel","Individual","Manual","Second ",11.5,1991,147.9
350,"Other",120,"Diesel","Individual","Manual","Second ",12.2,2499,80
420,"Other",110,"Diesel","Individual","Manual","Second ",18.2,1248,73.74
350,"Other",120,"Diesel","Individual","Manual","Second ",18.2,1248,73.8
650,"Other",40,"Diesel","Individual","Manual","Second ",18.2,1248,73.74
675,"Other",50,"Diesel","Individual","Manual","Second ",18.2,1248,73.74
90,"Other",60,"Petrol","Individual","Manual","Second ",18,995,62
280,"Other",110,"Diesel","Individual","Manual","Second ",18.2,1248,73.74
150,"Other",70,"Diesel","Individual","Manual","Second ",25.44,936,57.6
102,"Other",50,"Petrol","Individual","Manual","Second ",15.26,1150,74.9
160,"Other",130,"Diesel","Individual","Manual","Second ",16.52,1991,123.7
165,"Other",70,"Diesel","Individual","Manual","Second ",25.44,936,57.6
454,"Other",120,"Diesel","Individual","Manual","Second ",13.58,2499,72.4
1295,"Other",46,"Diesel","Dealer","Automatic","Second ",11.45,2776,197.2
300,"Other",119,"Diesel","Individual","Manual","Second ",16.52,1991,123.7
650,"Other",250,"Diesel","Individual","Manual","Second ",14.8,2499,80
150,"Other",40,"Petrol","Individual","Manual","Second ",18,995,62
80,"Other",70,"Petrol","Individual","Manual","Second ",16.2,995,62.1
110,"Other",60,"Petrol","Individual","Manual","Second ",18.6,1199,79.4
221,"Other",56,"Diesel","Dealer","Manual","Second ",25.44,936,57.6
380,"Other",70,"Diesel","Individual","Manual","Second ",18.2,1248,73.8
114.999,"Other",60,"Petrol","Individual","Manual","Second ",18,995,62
140,"Other",60,"Petrol","Individual","Manual","Second ",18,995,62
114.999,"Other",100,"Petrol","Individual","Manual","Second ",18,995,62
300,"Other",100,"Diesel","Individual","Manual","Second ",11.5,1991,147.9
120,"Other",60,"Petrol","Individual","Manual","Third or above",18.6,1199,79.4
500,"Other",99.5,"Diesel","Individual","Manual","Third or above",11.5,1991,147.9
95,"Other",120,"Petrol","Individual","Manual","Third or above",18,995,62
495,"Other",82,"Diesel","Individual","Manual","Third or above",17.3,1998,163.7
270,"Other",120,"Diesel","Individual","Manual","Third or above",18.3,1991,147.9
290,"Other",88,"Diesel","Individual","Manual","Third or above",16.52,1991,123.7
250,"Other",135,"Diesel","Individual","Manual","Third or above",18.3,1991,147.9
141,"Other",128,"Petrol","Individual","Manual","Third or above",18.6,1199,79.4
90,"Other",93,"Petrol","Individual","Manual","Third or above",18,995,62
160,"Other",70,"Diesel","Individual","Manual","Third or above",25.44,936,56.3
495,"Other",82,"Diesel","Individual","Manual","Third or above",17.3,1998,163.7
60,"Other",110,"Petrol","Individual","Manual","Third or above",16.5,995,63
500,"Other",99.5,"Diesel","Individual","Manual","Third or above",11.5,1991,147.9
135,"Other",49,"Diesel","Individual","Manual","Third or above",25.44,936,57.6
350,"Other",100,"Diesel","Individual","Manual","Third or above",18.2,1248,73.8
65,"Other",100,"Petrol","Individual","Manual","Third or above",18,995,62
65,"Other",100,"Petrol","Individual","Manual","Third or above",18,995,62
150,"Other",100,"Petrol","Individual","Manual","Third or above",18.6,1199,79.4
270,"Other",100,"Diesel","Individual","Manual","Third or above",18.3,1991,147.9
145,"Other",90,"Diesel","Individual","Manual","Third or above",25.44,936,57.6
225,"Other",100,"Diesel","Individual","Manual","Third or above",25.44,936,57.6
148,"Other",70,"Petrol","Individual","Manual","Third or above",14.7,1150,76
120,"Other",70,"Petrol","Individual","Manual","Third or above",18.6,1199,79.4
100,"Other",60,"Petrol","Individual","Manual","Third or above",14.7,1150,76
